Yoga Studio,0.0058823529411764705
Adult Boutique,0.000588235294117647
Afghan Restaurant,0.000588235294117647
Airport,0.000588235294117647
Airport Food Court,0.000588235294117647
Airport Gate,0.000588235294117647
Airport Lounge,0.001176470588235294
Airport Service,0.001176470588235294
Airport Terminal,0.001176470588235294
American Restaurant,0.017058823529411765
Antique Shop,0.0017647058823529412
Aquarium,0.0029411764705882353
Arepa Restaurant,0.000588235294117647
Art Gallery,0.007058823529411765
Art Museum,0.001176470588235294
Arts & Crafts Store,0.0017647058823529412
Asian Restaurant,0.006470588235294118
Astrologer,0.000588235294117647
Athletics & Sports,0.000588235294117647
Auto Workshop,0.000588235294117647
BBQ Joint,0.0029411764705882353
Baby Store,0.000588235294117647
Bagel Shop,0.0035294117647058825
Bakery,0.02411764705882353
Bank,0.004705882352941176
Bar,0.02411764705882353
Baseball Stadium,0.000588235294117647
Basketball Stadium,0.002352941176470588
Beach,0.000588235294117647
Beer Bar,0.007647058823529412
Beer Store,0.0017647058823529412
Belgian Restaurant,0.0017647058823529412
Bistro,0.0029411764705882353
Boat or Ferry,0.000588235294117647
Bookstore,0.01
Boutique,0.001176470588235294
Brazilian Restaurant,0.001176470588235294
Breakfast Spot,0.010588235294117647
Brewery,0.007058823529411765
Bubble Tea Shop,0.004705882352941176
Building,0.002352941176470588
Burger Joint,0.012941176470588235
Burrito Place,0.005294117647058823
Bus Line,0.001176470588235294
Bus Stop,0.000588235294117647
Business Service,0.000588235294117647
Butcher,0.001176470588235294
Café,0.05529411764705883
Cajun / Creole Restaurant,0.000588235294117647
Caribbean Restaurant,0.0035294117647058825
Cheese Shop,0.00411764705882353
Chinese Restaurant,0.007058823529411765
Chocolate Shop,0.000588235294117647
Church,0.001176470588235294
Climbing Gym,0.000588235294117647
Clothing Store,0.012352941176470587
Cocktail Bar,0.009411764705882352
Coffee Shop,0.08529411764705883
College Arts Building,0.000588235294117647
College Gym,0.000588235294117647
College Rec Center,0.000588235294117647
Comfort Food Restaurant,0.0035294117647058825
Comic Shop,0.0017647058823529412
Concert Hall,0.0058823529411764705
Convenience Store,0.0029411764705882353
Cosmetics Shop,0.007647058823529412
Coworking Space,0.000588235294117647
Creperie,0.00411764705882353
Cuban Restaurant,0.001176470588235294
Cupcake Shop,0.000588235294117647
Dance Studio,0.001176470588235294
Deli / Bodega,0.007647058823529412
Department Store,0.0035294117647058825
Dessert Shop,0.007058823529411765
Dim Sum Restaurant,0.0017647058823529412
Diner,0.01
Discount Store,0.0017647058823529412
Dog Run,0.0017647058823529412
Doner Restaurant,0.000588235294117647
Donut Shop,0.001176470588235294
Dumpling Restaurant,0.002352941176470588
Eastern European Restaurant,0.000588235294117647
Electronics Store,0.0017647058823529412
Ethiopian Restaurant,0.000588235294117647
Event Space,0.001176470588235294
Falafel Restaurant,0.002352941176470588
Farmers Market,0.0058823529411764705
Fast Food Restaurant,0.007647058823529412
Filipino Restaurant,0.000588235294117647
Fish & Chips Shop,0.0017647058823529412
Fish Market,0.002352941176470588
Flea Market,0.000588235294117647
Flower Shop,0.0017647058823529412
Food,0.000588235294117647
Food & Drink Shop,0.001176470588235294
Food Court,0.0035294117647058825
Food Truck,0.0017647058823529412
Fountain,0.002352941176470588
French Restaurant,0.004705882352941176
Fried Chicken Joint,0.00411764705882353
Fruit & Vegetable Store,0.000588235294117647
Furniture / Home Store,0.00411764705882353
Gaming Cafe,0.001176470588235294
Garden,0.001176470588235294
Garden Center,0.000588235294117647
Gastropub,0.013529411764705882
Gay Bar,0.002352941176470588
General Entertainment,0.001176470588235294
General Travel,0.002352941176470588
German Restaurant,0.000588235294117647
Gift Shop,0.002352941176470588
Gluten-free Restaurant,0.002352941176470588
Gourmet Shop,0.0017647058823529412
Greek Restaurant,0.010588235294117647
Grocery Store,0.006470588235294118
Gym,0.012941176470588235
Gym / Fitness Center,0.006470588235294118
Harbor / Marina,0.000588235294117647
Health & Beauty Service,0.000588235294117647
Health Food Store,0.001176470588235294
Historic Site,0.000588235294117647
History Museum,0.0017647058823529412
Hobby Shop,0.000588235294117647
Home Service,0.000588235294117647
Hookah Bar,0.000588235294117647
Hospital,0.000588235294117647
Hostel,0.001176470588235294
Hotel,0.02411764705882353
Hotel Bar,0.0029411764705882353
Hotpot Restaurant,0.000588235294117647
Ice Cream Shop,0.010588235294117647
Indian Restaurant,0.006470588235294118
Indie Movie Theater,0.001176470588235294
Intersection,0.000588235294117647
Irish Pub,0.0017647058823529412
Italian Restaurant,0.024705882352941175
Japanese Restaurant,0.015294117647058824
Jazz Club,0.00411764705882353
Jewelry Store,0.001176470588235294
Jewish Restaurant,0.000588235294117647
Juice Bar,0.0029411764705882353
Korean Restaurant,0.0017647058823529412
Lake,0.001176470588235294
Latin American Restaurant,0.0017647058823529412
Light Rail Station,0.0017647058823529412
Lingerie Store,0.000588235294117647
Liquor Store,0.004705882352941176
Lounge,0.0035294117647058825
Mac & Cheese Joint,0.000588235294117647
Malay Restaurant,0.000588235294117647
Market,0.001176470588235294
Martial Arts Dojo,0.000588235294117647
Mediterranean Restaurant,0.0029411764705882353
Men's Store,0.0035294117647058825
Mexican Restaurant,0.0058823529411764705
Middle Eastern Restaurant,0.004705882352941176
Miscellaneous Shop,0.0017647058823529412
Modern European Restaurant,0.0017647058823529412
Molecular Gastronomy Restaurant,0.001176470588235294
Monument / Landmark,0.002352941176470588
Movie Theater,0.0029411764705882353
Museum,0.0029411764705882353
Music Store,0.000588235294117647
Music Venue,0.0035294117647058825
New American Restaurant,0.004705882352941176
Nightclub,0.0029411764705882353
Noodle House,0.0029411764705882353
Office,0.0029411764705882353
Opera House,0.001176470588235294
Optical Shop,0.000588235294117647
Organic Grocery,0.000588235294117647
Other Great Outdoors,0.000588235294117647
Park,0.019411764705882354
Performing Arts Venue,0.002352941176470588
Persian Restaurant,0.000588235294117647
Pet Store,0.0017647058823529412
Pharmacy,0.005294117647058823
Piano Bar,0.000588235294117647
Pizza Place,0.02
Plane,0.000588235294117647
Playground,0.0017647058823529412
Plaza,0.0035294117647058825
Poke Place,0.002352941176470588
Polish Restaurant,0.000588235294117647
Pool,0.000588235294117647
Portuguese Restaurant,0.001176470588235294
Poutine Place,0.0017647058823529412
Pub,0.015294117647058824
Ramen Restaurant,0.0029411764705882353
Record Shop,0.0017647058823529412
Rental Car Location,0.000588235294117647
Restaurant,0.03529411764705882
Sake Bar,0.000588235294117647
Salad Place,0.00411764705882353
Salon / Barbershop,0.002352941176470588
Sandwich Place,0.013529411764705882
Scenic Lookout,0.0017647058823529412
Sculpture Garden,0.001176470588235294
Seafood Restaurant,0.013529411764705882
Shoe Store,0.001176470588235294
Shopping Mall,0.0029411764705882353
Skate Park,0.000588235294117647
Skating Rink,0.000588235294117647
Smoke Shop,0.002352941176470588
Smoothie Shop,0.0029411764705882353
Snack Place,0.001176470588235294
Soup Place,0.002352941176470588
Southern / Soul Food Restaurant,0.000588235294117647
Spa,0.004705882352941176
Speakeasy,0.002352941176470588
Sporting Goods Shop,0.0029411764705882353
Sports Bar,0.00411764705882353
Stadium,0.000588235294117647
Stationery Store,0.000588235294117647
Steakhouse,0.011764705882352941
Strip Club,0.000588235294117647
Supermarket,0.002352941176470588
Sushi Restaurant,0.010588235294117647
Swim School,0.000588235294117647
Taco Place,0.001176470588235294
Tailor Shop,0.002352941176470588
Taiwanese Restaurant,0.000588235294117647
Tanning Salon,0.000588235294117647
Tapas Restaurant,0.000588235294117647
Tea Room,0.007058823529411765
Thai Restaurant,0.011176470588235295
Theater,0.007058823529411765
Thrift / Vintage Store,0.000588235294117647
Toy / Game Store,0.001176470588235294
Trail,0.0017647058823529412
Train Station,0.0017647058823529412
Vegetarian / Vegan Restaurant,0.007647058823529412
Video Game Store,0.0017647058823529412
Vietnamese Restaurant,0.005294117647058823
Wine Bar,0.005294117647058823
Wings Joint,0.000588235294117647
Women's Store,0.001176470588235294
